Id,day_of_week,day_of_week_num,avg_sedentary_minutes,avg_sedentary_wear_only,total_days,nonwear_days
8253242879,Sunday,7,1275.0,1275.0,2,0
8253242879,Overall,8,1287.37,1278.89,19,1
8378563200,Monday,1,746.5,746.5,4,0
8378563200,Tuesday,2,743.0,743.0,5,0
8378563200,Wednesday,3,712.4,712.4,5,0
8378563200,Thursday,4,656.8,656.8,5,0
8378563200,Friday,5,774.0,774.0,4,0
8378563200,Saturday,6,733.5,733.5,4,0
8378563200,Sunday,7,655.75,655.75,4,0
8378563200,Overall,8,716.13,716.13,31,0
8583815059,Monday,1,1325.75,1287.67,4,1
8583815059,Tuesday,2,1258.8,1213.5,5,1
8583815059,Wednesday,3,1254.6,1208.25,5,1
8583815059,Thursday,4,1310.8,1278.5,5,1
8583815059,Friday,5,1216.0,1216.0,4,0
8583815059,Saturday,6,1218.5,1144.67,4,1
8583815059,Sunday,7,1280.5,1227.33,4,1
8583815059,Overall,8,1267.23,1225.76,31,6
8792009665,Monday,1,1309.0,916.0,4,3
8792009665,Tuesday,2,883.6,744.5,5,1
8792009665,Wednesday,3,824.5,824.5,4,0
8792009665,Thursday,4,1109.5,999.33,4,1
8792009665,Friday,5,957.0,796.0,4,1
8792009665,Saturday,6,1103.0,990.67,4,1
8792009665,Sunday,7,1281.0,1122.0,4,2
8792009665,Overall,8,1060.48,889.7,29,9
8877689391,Monday,1,1195.5,1195.5,4,0
8877689391,Tuesday,2,1140.0,1140.0,5,0
8877689391,Wednesday,3,1121.2,1121.2,5,0
8877689391,Thursday,4,1052.6,1052.6,5,0
8877689391,Friday,5,1123.75,1123.75,4,0
8877689391,Saturday,6,1011.25,1011.25,4,0
8877689391,Sunday,7,1152.0,1152.0,4,0
8877689391,Overall,8,1112.87,1112.87,31,0
